,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score3,M+CR2,M+CR+W3
317, Polk Co. Virtual Early College ,   ,   ,   ,   ,   ,   ,   
318, Polk County High ,95,61.7,516,496,478,1012,1490
760, Randolph County Schools ,430,43.4,496,471,449,967,1416
318, Eastern Randolph High ,105,47.3,492,473,449,965,1414
339, Providence Grove High ,35,42.7,452,423,386,875,1261
348, Randleman High ,64,39,488,468,441,956,1397
354, Randolph Early College High ,   ,   ,   ,   ,   ,   ,   
358, Southwestern High ,75,34.2,503,484,449,987,1436
380, Trinity High ,151,49.7,507,476,468,983,1451
761, Asheboro City Schools ,122,53.7,498,481,465,979,1444
304, Asheboro High ,122,53.7,498,481,465,979,1444
770, Richmond County Schools ,106,21.2,484,467,443,951,1394
348, Richmond Senior High ,106,22.8,484,467,443,951,1394
780, Robeson County Schools ,497,37.2,453,421,408,874,1282
325, Fairmont High ,40,33.6,442,413,400,855,1255
342, Lumberton Senior High ,181,43.4,465,435,425,900,1325
385, Robeson County Early College ,16,32.7,493,481,464,974,1438
391, Red Springs High ,42,34.4,435,387,380,822,1202
401, Saint Pauls High ,43,23.9,444,420,402,864,1266
402, South Robeson High ,47,36.4,392,383,351,775,1126
420, Purnell Swett High ,121,40.6,468,421,411,889,1300
700, Information Tech High School ,7,33.3,423,389,423,812,1235
790, Rockingham County Schools,449,56.3,488,464,457,952,1409
