,,School System & School,# Tested,% Tested,Math Score,CR Score1,Writing Score,M+CR2,M+CR+W3,,,, 
590,590,McDowell County ,163,44.4,506,488,478,994,1472,,,,
,330,McDowell High,163,44.4,506,488,478,994,1472,,,,
600,600,Charlotte-Mecklenburg County ,4506,68.7,504,491,481,995,1476,,,,
,302,Ardrey Kell High School,,,,,,,  ,,,,
,361,David W Butler High,321,70.2,524,514,502,1038,1540,,,,
,376,E E Waddell High,68,35.6,422,428,409,850,1259,,,,
,377,East Mecklenburg High,342,73.4,496,495,486,991,1477,,,,
,386,Midwood High,*,*,*,*,*,*,*,,,,
,396,Garinger High,124,45.9,420,420,420,840,1260,,,,
,405,Harding Univ High,231,74.5,481,464,456,945,1401,,,,
,415,Hopewell High,333,72.2,497,484,474,981,1455,,,,
,426,Independence High,320,65,469,461,444,930,1374,,,,
,439,Derita Alternative ,,,,,,,,,,,
,445,Mallard Creek High,,,,,,,,,,,
,466,Myers Park High,439,77.6,574,556,547,1130,1677,,,,
,480,North Mecklenburg High,417,73.5,531,519,506,1050,1556,,,,
,482,Northwest High,71,50.7,481,508,492,989,1481,,,,
,490,Olympic High5,176,57.7,459,443,427,902,1329,,,,
,496,Phillip Berry Acad ,178,69.8,436,428,410,864,1274,,,,
,498,Performance Learning,,,,,,,,,,,
,508,Providence High,501,93.3,563,547,537,1110,1647,,,,
,535,South Mecklenburg High,459,85.3,528,501,494,1029,1523,,,,
,576,West Charlotte High,147,60.5,399,390,391,789,1180,,,,
,579,West Mecklenburg High,120,48.6,453,430,411,883,1294,,,,
,592,Zebulon B Vance High,255,61.4,470,462,456,932,1388,,,,
,693,Renaissance Olympic ,,,,,,,,,,,
,695,Int Global Econ Olym ,,, ,,,,,,,,
,696,Int Bus Comm Olympic ,,,,,,,,,,,
,697,Biotech Hlth Pa Olym ,,,,, ,,,,,,
60C,60C,Kennedy Charter,*,*,*,*,*,*,*,,,,
60H Crossroads Charter ,60H,Crossroads Charter,*,*,*,*,*,*,*,,,,
610,610,Mitchell County ,57,36.8,519,512,499,1031,1530,,,,
,334,Mitchell High,57,36.8,519,512,499,1031,1530,,,,
620,620,Montgomery County ,117,49,468,441,432,909,1341,,,,
,316,East Montgomery High,47,50,454,428,418,882,1300,,,,
,340,West Montgomery High,70,48.3,478,450,441,928,1369,,,,
630,630,Moore County ,344,47.6,536,510,498,1046,1544,,,,
,330,Pinckney Academy,,,,,,,,,,,
